date,Weekday,vacances,est_jour_ferie,nom_jour_ferie,nom_vacances
2019-06-23,Dimanche,FALSE,FALSE,,
2019-06-24,Lundi,FALSE,FALSE,,
2019-06-25,Mardi,FALSE,FALSE,,
2019-06-26,Mercredi,FALSE,FALSE,,
2019-06-27,Jeudi,FALSE,FALSE,,
2019-06-28,Vendredi,FALSE,FALSE,,
2019-06-29,Samedi,FALSE,FALSE,,
2019-06-30,Dimanche,FALSE,FALSE,,
2019-07-01,Lundi,FALSE,FALSE,,
2019-07-02,Mardi,FALSE,FALSE,,
2019-07-03,Mercredi,FALSE,FALSE,,
2019-07-04,Jeudi,FALSE,FALSE,,
2019-07-05,Vendredi,FALSE,FALSE,,
2019-07-06,Samedi,FALSE,FALSE,,
2019-07-07,Dimanche,True,FALSE,,Vacances dete
2019-07-08,Lundi,True,FALSE,,Vacances dete
2019-07-09,Mardi,True,FALSE,,Vacances dete
2019-07-10,Mercredi,True,FALSE,,Vacances dete
2019-07-11,Jeudi,True,FALSE,,Vacances dete
2019-07-12,Vendredi,True,FALSE,,Vacances dete
2019-07-13,Samedi,True,FALSE,,Vacances dete
2019-07-14,Dimanche,True,TRUE,Assomption,Vacances dete
2019-07-15,Lundi,True,FALSE,,Vacances dete
2019-07-16,Mardi,True,FALSE,,Vacances dete
2019-07-17,Mercredi,True,FALSE,,Vacances dete
2019-07-18,Jeudi,True,FALSE,,Vacances dete
2019-07-19,Vendredi,True,FALSE,,Vacances dete
2019-07-20,Samedi,True,FALSE,,Vacances dete
2019-07-21,Dimanche,True,FALSE,,Vacances dete
2019-07-22,Lundi,True,FALSE,,Vacances dete
2019-07-23,Mardi,True,FALSE,,Vacances dete
2019-07-24,Mercredi,True,FALSE,,Vacances dete
2019-07-25,Jeudi,True,FALSE,,Vacances dete
2019-07-26,Vendredi,True,FALSE,,Vacances dete
2019-07-27,Samedi,True,FALSE,,Vacances dete
2019-07-28,Dimanche,True,FALSE,,Vacances dete
2019-07-29,Lundi,True,FALSE,,Vacances dete
2019-07-30,Mardi,True,FALSE,,Vacances dete
2019-07-31,Mercredi,True,FALSE,,Vacances dete
2019-08-01,Jeudi,True,FALSE,,Vacances dete
2019-08-02,Vendredi,True,FALSE,,Vacances dete
2019-08-03,Samedi,True,FALSE,,Vacances dete
2019-08-04,Dimanche,True,FALSE,,Vacances dete
2019-08-05,Lundi,True,FALSE,,Vacances dete
2019-08-06,Mardi,True,FALSE,,Vacances dete
2019-08-07,Mercredi,True,FALSE,,Vacances dete
2019-08-08,Jeudi,True,FALSE,,Vacances dete
2019-08-09,Vendredi,True,FALSE,,Vacances dete
2019-08-10,Samedi,True,FALSE,,Vacances dete
2019-08-11,Dimanche,True,FALSE,,Vacances dete
2019-08-12,Lundi,True,FALSE,,Vacances dete
2019-08-13,Mardi,True,FALSE,,Vacances dete
2019-08-14,Mercredi,True,FALSE,,Vacances dete
2019-08-15,Jeudi,True,FALSE,,Vacances dete
2019-08-16,Vendredi,True,FALSE,,Vacances dete
2019-08-17,Samedi,True,FALSE,,Vacances dete
2019-08-18,Dimanche,True,FALSE,,Vacances dete
2019-08-19,Lundi,True,FALSE,,Vacances dete
2019-08-20,Mardi,True,FALSE,,Vacances dete
2019-08-21,Mercredi,True,FALSE,,Vacances dete
2019-08-22,Jeudi,True,FALSE,,Vacances dete
2019-08-23,Vendredi,True,FALSE,,Vacances dete
2019-08-24,Samedi,True,FALSE,,Vacances dete
2019-08-25,Dimanche,True,FALSE,,Vacances dete
2019-08-26,Lundi,True,FALSE,,Vacances dete
2019-08-27,Mardi,True,FALSE,,Vacances dete
2019-08-28,Mercredi,True,FALSE,,Vacances dete
2019-08-29,Jeudi,True,FALSE,,Vacances dete
2019-08-30,Vendredi,True,FALSE,,Vacances dete
2019-08-31,Samedi,True,FALSE,,Vacances dete
2019-09-01,Dimanche,True,FALSE,,Vacances dete
2019-09-02,Lundi,FALSE,FALSE,,
2019-09-03,Mardi,FALSE,FALSE,,
2019-09-04,Mercredi,FALSE,FALSE,,
2019-09-05,Jeudi,FALSE,FALSE,,
2019-09-06,Vendredi,FALSE,FALSE,,
2019-09-07,Samedi,FALSE,FALSE,,
2019-09-08,Dimanche,FALSE,FALSE,,
2019-09-09,Lundi,FALSE,FALSE,,
2019-09-10,Mardi,FALSE,FALSE,,
2019-09-11,Mercredi,FALSE,FALSE,,
2019-09-12,Jeudi,FALSE,FALSE,,
2019-09-13,Vendredi,FALSE,FALSE,,
2019-09-14,Samedi,FALSE,FALSE,,
2019-09-15,Dimanche,FALSE,FALSE,,
2019-09-16,Lundi,FALSE,FALSE,,
2019-09-17,Mardi,FALSE,FALSE,,
2019-09-18,Mercredi,FALSE,FALSE,,
2019-09-19,Jeudi,FALSE,FALSE,,
2019-09-20,Vendredi,FALSE,FALSE,,
2019-09-21,Samedi,FALSE,FALSE,,
2019-09-22,Dimanche,FALSE,FALSE,,
2019-09-23,Lundi,FALSE,FALSE,,
2019-09-24,Mardi,FALSE,FALSE,,
2019-09-25,Mercredi,FALSE,FALSE,,
2019-09-26,Jeudi,FALSE,FALSE,,
2019-09-27,Vendredi,FALSE,FALSE,,
2019-09-28,Samedi,FALSE,FALSE,,
2019-09-29,Dimanche,FALSE,FALSE,,
2019-09-30,Lundi,FALSE,FALSE,,
2019-10-01,Mardi,FALSE,FALSE,,
2019-10-02,Mercredi,FALSE,FALSE,,
2019-10-03,Jeudi,FALSE,FALSE,,
2019-10-04,Vendredi,FALSE,FALSE,,
2019-10-05,Samedi,FALSE,FALSE,,
2019-10-06,Dimanche,FALSE,FALSE,,
2019-10-07,Lundi,FALSE,FALSE,,
2019-10-08,Mardi,FALSE,FALSE,,
2019-10-09,Mercredi,FALSE,FALSE,,
2019-10-10,Jeudi,FALSE,FALSE,,
2019-10-11,Vendredi,FALSE,FALSE,,
2019-10-12,Samedi,FALSE,FALSE,,
2019-10-13,Dimanche,FALSE,FALSE,,
2019-10-14,Lundi,FALSE,FALSE,,
2019-10-15,Mardi,FALSE,FALSE,,
2019-10-16,Mercredi,FALSE,FALSE,,
2019-10-17,Jeudi,FALSE,FALSE,,
2019-10-18,Vendredi,FALSE,FALSE,,
2019-10-19,Samedi,FALSE,FALSE,,
2019-10-20,Dimanche,True,FALSE,,Vacances dautomne
2019-10-21,Lundi,True,FALSE,,Vacances dautomne
2019-10-22,Mardi,True,FALSE,,Vacances dautomne
2019-10-23,Mercredi,True,FALSE,,Vacances dautomne
2019-10-24,Jeudi,True,FALSE,,Vacances dautomne
2019-10-25,Vendredi,True,FALSE,,Vacances dautomne
2019-10-26,Samedi,True,FALSE,,Vacances dautomne
2019-10-27,Dimanche,True,TRUE,La Toussaint,Vacances dautomne
2019-10-28,Lundi,True,FALSE,,Vacances dautomne
2019-10-29,Mardi,True,FALSE,,Vacances dautomne
